source_pdf,pdf_date,page,image_file,width,height,format,text_above,text_below,nearest_heading,staging_path,page_image,classified,title,slug,insight
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,1,page_01_img_00.jpeg,438,431,jpeg,(212) 398-6230,What’s that distorted skull in,(212) 398-6230,amfx___recession_for_and_against__23nov22_1/page_01_img_00.jpeg,amfx___recession_for_and_against__23nov22_1/page_01.png,decorative,Renaissance Portrait of Two Scholars with Objects,renaissance-portrait-two-scholars,"A historical artwork used as decorative imagery in the newsletter, likely chosen to illustrate a point about economic or financial history."
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,1,page_01_img_01.png,467,422,png,S&P performance around Thanksgiving,Current Views,S&P performance around Thanksgiving,amfx___recession_for_and_against__23nov22_1/page_01_img_01.png,amfx___recession_for_and_against__23nov22_1/page_01.png,table,S&P 500 Performance Around Thanksgiving by Day of Week (2009-2022),sp500-thanksgiving-performance-by-day,"Historical analysis showing S&P 500 average returns for Wednesday through Tuesday around Thanksgiving, revealing that Mondays and Tuesdays have positive average returns (0.3% and 0.2%) while Fridays average negative returns (-0.4%)."
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,2,page_02_img_00.png,1318,1108,png,"US 10-year yields, 15 days of 30-minute increments","Zooming out, a good short-term target for 10-year yields is 3.50%, that is the old YTD high as of June 2022 and just above 
the 100-day moving average. Here is the chart.","US 10-year yields, 15 days of 30-minute increments",amfx___recession_for_and_against__23nov22_1/page_02_img_00.png,amfx___recession_for_and_against__23nov22_1/page_02.png,chart,USGG10YR Index - 15 Day 30-Minute Candlestick Chart,usgg10yr-index-15day-30min-nov2022,"This 30-minute candlestick chart tracks US 10-year Treasury yields over 15 days, with analysis identifying 3.50% as a key short-term target level representing the previous YTD high and 100-day moving average."
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,2,page_02_img_01.jpeg,1110,658,jpeg,"US 10-year yields, 15 days of 30-minute increments",2,"US 10-year yields, 15 days of 30-minute increments",amfx___recession_for_and_against__23nov22_1/page_02_img_01.jpeg,amfx___recession_for_and_against__23nov22_1/page_02.png,chart,US 10-Year Yields - 15 Days of 30-Minute Increments (November 2022),us-10yr-yields-30min-nov-2022,"Line chart tracking US 10-year Treasury yields over a 15-day period with 30-minute intervals, showing a sharp rise from ~3.0% to 3.4-4.5% range with current resistance level marked around 3.5%"
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,3,page_03_img_00.png,779,420,png,"There are some compelling arguments for US recession in 2023. First and foremost are the aggressive and deepening 
yield curve inversions. Jim Bianco had a good thread on inversions last night; this table stood out to me.","311 days from now is September 30, 2023. The range of lags has been 140 to 487 days which puts the range wide but 
real: US recession starts sometime between April 12, 2023, and March 24, 2024. Don’t rule out 2023 Fed cuts. 
 
Recessionary signs",There are some compelling arguments for US recession in 2023. First and foremost are the aggressive and deepening ,amfx___recession_for_and_against__23nov22_1/page_03_img_00.png,amfx___recession_for_and_against__23nov22_1/page_03.png,table,Historical Yield Curve Inversions and Recession Timing,yield-curve-inversions-recession-lags,"This table tracks the relationship between 3-month to 10-year yield curve inversions and subsequent recessions, showing an average lag of 311 calendar days between inversion and recession onset."
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,3,page_03_img_01.png,534,309,png,"• 
Yield curve shows Fed is restrictive. 
• 
Housing and autos look bad. 
• 
Soft data looks bad. Here’s the soft vs. hard NFIB Survey data for October.","• 
Credit card debt is picking up. 
• 
Europe, the UK, and China are not looking great. 
• 
Huge savings from stimmies are almost spent. 
• 
Recession psychology is widespread. See chart at right. 
• 
Lagged impact of rising rates will be felt over time and 
has barely hit so far. More layoffs coming as consumers 
tighten belts and tech reels.",• ,amfx___recession_for_and_against__23nov22_1/page_03_img_01.png,amfx___recession_for_and_against__23nov22_1/page_03.png,chart,Optimism Index Components: Hard vs Soft Data (1986-2022),nfib-optimism-index-hard-soft-components-1986-2022-20221123,"Compares hard economic data (job creation, inventory, earnings) against soft survey expectations, showing soft data has deteriorated significantly since 2021 while hard data remains relatively resilient, indicating potential recession risk ahead."
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,3,page_03_img_02.png,659,349,png,"• 
Yield curve shows Fed is restrictive. 
• 
Housing and autos look bad. 
• 
Soft data looks bad. Here’s the soft vs. hard NFIB Survey data for October.",3,• ,amfx___recession_for_and_against__23nov22_1/page_03_img_02.png,amfx___recession_for_and_against__23nov22_1/page_03.png,chart,Google Trends: Recession Search Interest Over Time (2004-Present),google-trends-recession-search-interest-2004-present-20221123,"This chart tracks worldwide search volume for the term 'recession' from 2004 to present, showing significant spikes during major economic downturns including the 2008 financial crisis and 2020 pandemic, with notable recent increases suggesting heightened recession concerns in 2022."
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,4,page_04_img_00.png,910,661,png,"Conference Board LEI vs. recessions, 1960 to now",Counterarguments,"Conference Board LEI vs. recessions, 1960 to now",amfx___recession_for_and_against__23nov22_1/page_04_img_00.png,amfx___recession_for_and_against__23nov22_1/page_04.png,chart,"Conference Board LEI vs. Recessions, 1960 to 2022",conference-board-lei-vs-recessions-1960-2022-20221123,"This line chart tracks the Leading Economic Index (LEI) from 1960 to present, with shaded areas indicating recession periods, illustrating the LEI's historical relationship with economic downturns and its predictive value for forecasting recessions."
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,4,page_04_img_01.png,910,377,png,"Yes, there are tech layoffs…",4,"Yes, there are tech layoffs…",amfx___recession_for_and_against__23nov22_1/page_04_img_01.png,amfx___recession_for_and_against__23nov22_1/page_04.png,chart,Tech Layoffs in 2022,tech-layoffs-2022,"This dual-axis chart shows that tech layoffs accelerated dramatically in 2022, peaking in November with approximately 45,000 employees laid off across roughly 150 companies, indicating severe workforce reductions in the technology sector."
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,5,page_05_img_00.png,952,765,png,… But tech is a tiny part of the labor market and there are more than 10 million jobs still open,"The counterarguments are pretty good. Until US job market slack is absorbed, the long lags between inversion and 
recession are just about untradable. It’s early to position for recession, even if one might be inevitable. Watch for a turn 
in Initial Claims, especially after today’s 240k print, as a sign that the job market shortage is being absorbed and it’s game 
on for recession trades. The best recession trade is short cross/JPY. 
 
What other high-frequency signs are you watching for potential US recession? Please email me.",… But tech is a tiny part of the labor market and there are more than 10 million jobs still open,amfx___recession_for_and_against__23nov22_1/page_05_img_00.png,amfx___recession_for_and_against__23nov22_1/page_05.png,chart,"JOLTS Job Openings, USA 2001 to Now",jolts-job-openings-usa-2001-2022-20221123,"This area chart shows the dramatic spike in US job openings to over 12,000 in 2022, demonstrating significant labor market slack and a historically tight employment market that could delay recession timing."
