id,topic,name,url,domain,file_path,status,linear_issue,charts,tables,hypothesis,keywords,notes
RS-001,fx_seasonality_research,Intra-Day Seasonality in Activities of the Foreign Exchange Markets,https://www.nber.org/papers/w12413,academic,report_notes/fx_seasonality_research/sources/academic/001_nber_intraday_seasonality_fx.md,PENDING,,0,0,Intraday FX activity shows predictable seasonal patterns,intraday; FX; seasonality; NBER,
RS-002,fx_seasonality_research,Intra-Day Seasonality in Foreign Exchange Market Transactions,https://arxiv.org/abs/1103.5664,academic,report_notes/fx_seasonality_research/sources/academic/002_arxiv_intraday_seasonality_fx_transactions.md,PENDING,,0,0,FX transaction volumes exhibit intraday seasonality,intraday; transactions; FX; arxiv,
RS-003,fx_seasonality_research,Business Cycles and Currency Returns,https://www.nber.org/papers/w26299,academic,report_notes/fx_seasonality_research/sources/academic/003_nber_business_cycles_currency_returns.md,PENDING,,0,0,Currency returns are linked to business cycle phases,business cycles; currency; returns; NBER,
RS-004,fx_seasonality_research,FX Seasonality: What Still Works For Forex Trading in 2025,https://www.fxempire.com/education/article/fx-seasonality-what-still-works-and-what-doesnt-in-2025-1545003,market_analysis,report_notes/fx_seasonality_research/sources/market_analysis/001_fxempire_seasonality_research_2025.md,PENDING,,0,0,Identify which FX seasonal patterns remain profitable in 2025,FX; seasonality; 2025; trading,
RS-005,fx_seasonality_research,December FX Seasonality: Key Patterns for Major Currency Pairs,https://www.forex.com/en/news-and-analysis/forex-seasonality-december-2025/,market_analysis,report_notes/fx_seasonality_research/sources/market_analysis/002_forexcom_december_2025_seasonality.md,PENDING,,0,0,December shows distinct seasonal patterns in major FX pairs,December; seasonality; FX; monthly,
RS-006,fx_seasonality_research,How to Build Mean Reversion Strategies in Currencies,https://quantpedia.com/how-to-build-mean-reversion-strategies-in-currencies/,quantpedia,report_notes/fx_seasonality_research/sources/quantpedia/002_mean_reversion_currencies.md,PENDING,,4,2,Long undervalued and short overvalued currencies generates alpha,mean reversion; FX; alpha; quantpedia,Key strategy with linear/exponential position sizing
RS-007,fx_seasonality_research,Seasonal Trends in the Forex Market,https://www.investopedia.com/articles/forex/07/forex_seasonality.asp,educational,report_notes/fx_seasonality_research/sources/investopedia/001_seasonal_trends_forex.md,IN_REVIEW,ENG-585,2,0,USD/JPY October 68% win rate; August JPY strength; USD/CAD Oct/Nov seasonality,seasonal; forex; USD/JPY; USD/CAD; October; August,VALIDATED: Oct 66.7% win rate confirmed. July (not Aug) is worst month.
RS-008,fx_seasonality_research,Key Seasonal Patterns in Forex,https://www.axiory.com/en/trading-resources/economic-indicators/seasonal-patterns-forex,educational,report_notes/fx_seasonality_research/sources/misc/002_axiory_seasonal_patterns_forex.md,PENDING,,0,0,Identify key seasonal patterns in forex,seasonal; patterns; forex,
RS-009,fx_seasonality_research,Is There Seasonality in Forex?,https://www.earnforex.com/guides/is-there-seasonality-in-forex/,educational,report_notes/fx_seasonality_research/sources/misc/003_earnforex_seasonality_forex.md,PENDING,,0,0,Evaluate evidence for forex seasonality,seasonality; forex; evidence,
RS-010,fx_seasonality_research,Seasonal Trends in the Forex Market (IG),https://www.ig.com/en/trading-strategies/seasonal-trends-in-the-forex-market-200717,educational,report_notes/fx_seasonality_research/sources/misc/005_ig_seasonal_trends_forex.md,COMPLETED,ENG-586,6,3,Overview of seasonal trends in forex,seasonal; trends; forex; IG,Multi-pattern validation: USD May / JPY Oct / CAD Q1
