id,name,category,package,layer,num_inputs,num_outputs,num_options,tags
bar_gap,Bar Gap,ControlFlow,Compute,3,4,5,2,indicator; gap; intraday; price-action; liquidity-gap; fair-value-gap; imbalance; gap-up; gap-down; FVG
cusum,CUSUM Change Point Detector,ControlFlow,Compute,3,1,5,4,cusum; change-point; structural-break; regime; detection
holiday,Holiday Effect,ControlFlow,Sessions,3,0,1,4,calendar; holiday; seasonal; pre-holiday; post-holiday; Ariel-1990; Lakonishok-Smidt; Independence-Day; Thanksgiving; Christmas; Labor-Day; reduced-volume; sentiment; short-covering; anomaly; timing; USFederalHoliday; low-liquidity; rally; entry-filter
is_period_boundary,Is Period Boundary,ControlFlow,Sessions,3,1,1,8,datetime; calendar; rebalancing; period; boundary; month-start; month-end; quarter-end; year-end; opex; turn-of-month; window-dressing; tax-loss-harvesting; first-monday; last-friday; t-minus-1; signal; boolean; trigger; schedule
keyword_match,Keyword Match,ControlFlow,NLP,3,1,1,1,nlp; text; keyword; match; pattern; boolean; signal; event-detection; news; headline; filing; 8-k; earnings; litigation; screening; compliance; binary; dictionary
session_gap,Session Gap,ControlFlow,Sessions,3,4,5,1,indicator; gap; session; overnight; price-action; gap-fill; breakaway-gap; exhaustion-gap; common-gap; gap-up; gap-down; opening-gap
session_window,Session Window,ControlFlow,Sessions,3,6,9,1,calendar; intraday; session; ohlcv; overnight-drift; opening-reversal; closing-auction; power-hour; U-shaped-volume; market-microstructure; NFP; London-session; NewYork-session; Tokyo-session; kill-zone; overnight-return; gap; event-driven; FX-sessions; extended-hours; Admati-Pfleiderer; macro-release; volatility-spike
string_check,String Check,ControlFlow,NLP,3,1,1,1,string; text; validate; type; boolean
string_contains,String Contains,ControlFlow,NLP,3,1,1,2,string; text; search; pattern; boolean
turn_of_month,Turn of Month,ControlFlow,Sessions,3,0,2,2,calendar; seasonal; month; turn-of-month; anomaly; pension-flow; institutional; rebalancing; payroll; Ariel-1987; Lakonishok-Smidt; month-end; month-start; intramonth; timing; entry-filter; position-sizing; emerging-markets
futures_continuation,Futures Continuation,DataPrep,MarketData,3,7,10,4,futures; continuation; rollover; panama-canal
