id,name,url,status,linked_definitions,url_slug,subscription,has_qc_code,keywords,market_factors,instruments,regions,rebalancing,complexity,confidence,crisis_hedge,paper_perf,paper_vol,paper_sharpe,paper_max_dd,paper_start,paper_end,oos_perf_inception,oos_vol_inception,oos_sharpe_inception,oos_max_dd,oos_start,oos_end,correlation,linear_issue,notes
#0001,Asset Class Trend-Following,https://quantpedia.com/strategies/asset-class-trend-following,TESTED,"asset_class_trend_following_research.json,asset_class_trend_following_strategy.json",asset-class-trend-following,Free,Yes,momentum; asset class picking; trend-following,Equities; Bonds; Commodities; REITs,ETFs; Funds; Futures; CFDs,Global,Monthly,Simple,Strong,Partially,11.27,6.87,1.06,-29.43,1973.0,2008.0,6.2,12.42207478344945,0.49911146954779,-29.42932239541356,2000.0,2025.0,0.4783744462882142,ENG-14,
#0002,Momentum Asset Allocation Strategy,https://quantpedia.com/strategies/asset-class-momentum-rotational-system,TESTED,"momentum_asset_allocation_research.json,momentum_asset_allocation_strategy.json",asset-class-momentum-rotational-system,Free,Yes,momentum; asset class picking; rotational system,Equities; Bonds; Commodities; REITs,ETFs; Funds; Futures; CFDs,Global,Monthly,Simple,Strong,Partially,14.49,11.0,0.78,-47.77,1973.0,2009.0,7.5,13.893392712381331,0.5398249481076173,-47.7765142804976,2003.0,2025.0,0.8476466778199405,ENG-12,
#0003,Sector Momentum - Rotational System,https://quantpedia.com/strategies/sector-momentum-rotational-system,TESTED,sector_momentum_strategy.json,sector-momentum-rotational-system,Free,Yes,momentum; rotational system; sector picking,Equities,ETFs; Funds; Stocks,United States,Monthly,Simple,Strong,No,13.94,18.38,0.54,-46.29,1928.0,2009.0,9.4,18.50731386751825,0.5079073099039899,-46.31931782954271,2004.0,2025.0,0.8771783984589404,ENG-561,
#0004,Overnight Anomaly,https://quantpedia.com/strategies/overnight-anomaly,INELIGIBLE,,overnight-anomaly,Premium,Yes,market timing; seasonality,Equities,ETFs; Funds; Futures; Stocks,United States,Intraday,Very Complex,Strong,Unknown,14.0,,,-35.3,1993.0,2006.0,8.3,11.553236242491652,0.7184134233725289,-35.30612521376665,1998.0,2025.0,0.561846592829388,ENG-15,
#0005,FX Carry Trade,https://quantpedia.com/strategies/fx-carry-trade,ELIGIBLE,fx_carry_trade_strategy.json,fx-carry-trade,Free,Yes,carry trade; FX anomaly; forex system; factor investing; smart beta,Currencies,Futures; CFDs; Forwards; Swaps,Global,Monthly,Simple,Strong,No,7.27,9.6,0.29,-32.05,1989.0,2009.0,2.5,9.223738965025069,0.2710397605005515,-30.750996439976475,2000.0,2025.0,0.4921865025761253,ENG-562,Currency futures data now available. Definition uses futures_continuation with BackwardPanamaCanal adjustment.
#0006,Bond Carry Strategy,https://quantpedia.com/strategies/bond-carry-strategy,INELIGIBLE,,bond-carry-strategy,Premium,Yes,carry trade; factor investing; smart beta,Bonds,Futures; Forwards; Swaps,Global,Monthly,Simple,Strong,No,9.91,8.63,0.68,-14.31,1950.0,2012.0,2.1,4.350218718826126,0.4827343487149238,-14.310516971079789,2000.0,2025.0,-0.0317256410061954,ENG-18,
#0007,Low Volatility Factor Effect in Stocks,https://quantpedia.com/strategies/low-volatility-factor-effect-in-stocks,TESTED,low_volatility_factor_strategy.json,low-volatility-factor-effect-in-stocks,Free,Yes,stock picking; volatility effect; factor investing; smart beta,Equities,Stocks,Global,Monthly,Complex,Strong,Partially,11.3,10.1,0.72,-45.92,1986.0,2006.0,11.2,14.046534461651094,0.7973496972208688,-44.83022318881862,2000.0,2025.0,0.8841098923748417,ENG-564,
#0008,Currency Momentum Factor,https://quantpedia.com/strategies/currency-momentum-factor,TESTED,currency_momentum_strategy.json,currency-momentum-factor,Free,Yes,momentum; FX anomaly; forex system; factor investing; smart beta,Currencies,Futures; CFDs; Forwards; Swaps,Global,Monthly,Simple,Moderate,Yes,7.61,10.22,0.3,-45.87,1989.0,2009.0,0.2,8.08121750891229,0.0247487460620175,-38.92857369744659,2000.0,2025.0,-0.1260736081949862,ENG-563,
#0009,Currency Value Factor - PPP Strategy,https://quantpedia.com/strategies/currency-value-factor-ppp-strategy,INELIGIBLE,,currency-value-factor-ppp-strategy,Free,Yes,FX anomaly; forex system; value; factor investing; smart beta,Currencies,Futures; CFDs; Forwards; Swaps,Global,Quarterly,Simple,Moderate,Yes,7.82,9.33,0.36,-39.38,1989.0,2009.0,1.0,6.00752699534796,0.1664578454286378,-39.38435833315144,2001.0,2025.0,0.0953320150557247,ENG-24,
#0010,Sector Rotation based on Monetary Policy,https://quantpedia.com/strategies/sector-rotation-based-on-monetary-policy,TESTED,"sector_rotation_monetary_policy_research.json,sector_rotation_monetary_policy_strategy.json",sector-rotation-based-on-monetary-policy,Prime,Yes,sector picking,Equities,ETFs; Funds; Stocks,United States,Yearly,Moderate,Strong,No,15.82,15.5,0.76,-62.84,1973.0,2005.0,9.3,20.673926754489536,0.4498419729566091,-62.85645871206306,1999.0,2025.0,0.93839773118698,ENG-21,
