slug,title,source_pdf,date,page,type,image_file,insight
usd-dxy-comeback-q1-2026-geometric-decomposition,The USD stages a comeback in late Q1: Geometric decomposition of the DXY contributions,BMO FX macro report 3-9-26.pdf,2026-03-09,1,chart,usd-dxy-comeback-q1-2026-geometric-decomposition.jpeg,"This stacked area chart decomposes the US Dollar Index (DXY) movements across major currency pairs (CHF, SEK, CAD, GBP, JPY, EUR) from late 2025 through early 2026, illustrating how USD strength returned driven by safe-haven demand amid geopolitical stress and energy supply shocks."
global-macro-vol-vs-geomacro-uncertainty,Global Macro Vol Trailing GeoMacro Uncertainty (2015-2025),BMO FX macro report 3-9-26.pdf,2026-03-09,1,chart,global-macro-vol-vs-geomacro-uncertainty.jpeg,"Global macro volatility is currently lagging behind rising geopolitical uncertainty, suggesting potential for further volatility expansion as markets reprice macro assets amid energy supply shocks and structural USD strength."
growth-inflation-factor-scatter-plot,Growth and Inflation Factor Score by Currency,BMO FX macro report 3-9-26.pdf,2026-03-09,2,chart,growth-inflation-factor-scatter-plot.jpeg,"This scatter plot ranks G10 and emerging market currencies by their growth and inflation momentum, showing the USD in the most constructive macro position alongside MXN, AUD, and BRL, while EUR, GBP, CHF, and JPY face deflationary pressures."
bdxy-correlation-us-rates-2024-2026,3m Rolling Correlation of BDXY to US Market Variables (2024-2026),BMO FX macro report 3-9-26.pdf,2026-03-09,2,chart,bdxy-correlation-us-rates-2024-2026.jpeg,"The USD is re-establishing its correlation with 2-year and 10-year rate differentials while its relationship with yield curve shape has broken down, signaling a shift in FX dynamics toward rate-driven moves rather than traditional steepening-induced weakness."
global-risk-sentiment-mood-index,Global Risk Sentiment - MOOD Index,BMO FX macro report 3-9-26.pdf,2026-03-09,3,chart,global-risk-sentiment-mood-index.jpeg,"The MOOD Index tracks cross-asset risk appetite across equities, credit, volatility, rates, and FX, showing current risk-on sentiment near neutral levels with momentum indicators providing directional signals for global market risk conditions."
fx-correlations-mood-risk-appetite-index,Benchmarking FX Correlations to MOOD Risk Appetite Index - 6m Rolling Correlation of USDCCY,BMO FX macro report 3-9-26.pdf,2026-03-09,3,chart,fx-correlations-mood-risk-appetite-index.jpeg,"This chart shows the 6-month rolling correlation between various currency pairs and BMO's MOOD risk appetite index, with asterisks indicating significant shifts in correlation over the past 3 months, revealing how FX markets have decoupled from or realigned with risk sentiment."
gps-broad-usd-positioning-g10-em-2026,"GPS: Broad USD Positioning, Including G10 and EM",BMO FX macro report 3-9-26.pdf,2026-03-09,3,chart,gps-broad-usd-positioning-g10-em-2026.jpeg,"BMO's Global Positioning Score shows USD has only recently flipped from short to long positioning and does not appear overbought at current levels, with EM shorts (particularly MXN) appearing more extended than G10 positioning."
audnzd-fair-value-macro-factors-regression,Time to fade the rally in AUDNZD: 12m rolling regression of spot to Global Macro Factors PCA (PC1-P4),BMO FX macro report 3-9-26.pdf,2026-03-09,3,chart,audnzd-fair-value-macro-factors-regression.jpeg,"This multi-panel chart shows AUDNZD spot price versus fair value implied by macro factors, percentage deviation, and z-score signals, indicating the pair is elevated above fundamental fair value of ~1.13 and presents a selling opportunity."
carry-vs-growth-balance-em-currencies,Finding the right balance between carry and growth,BMO FX macro report 3-9-26.pdf,2026-03-09,4,chart,carry-vs-growth-balance-em-currencies.jpeg,"Scatter plot showing the relationship between carry-to-volatility ratio (x-axis) and growth factor score (y-axis) across major currencies, identifying which EM currencies offer the best risk-adjusted returns from combining carry trades with growth dynamics."
fx-risk-premium-vs-terms-of-trade-move,FX Risk Premium vs Terms of Trade Move,BMO FX macro report 3-9-26.pdf,2026-03-09,4,chart,fx-risk-premium-vs-terms-of-trade-move.jpeg,"Scatter plot comparing actual 1-week FX moves against implied moves based on 3-year terms of trade beta, highlighting currencies trading at a premium (HUF, KRW, MXN, BRL) that may face adjustment risk."
