id,package,internalUse,grammar,materializes_from
cs_bars,Bars,False,cs_bars — Cross-Sectional Bars - ONE FOR ALL ASSETS,
xy_bars,Bars,False,xy_bars — XY Bars - ONE PER ASSET,
cards,Cards,True,,deprecated:use gauge
cs_cards,Cards,True,,deprecated:use cs_gauge
cs_gauge,Cards,False,cs_gauge — Cross-Sectional Gauge - ONE FOR ALL ASSETS,
cs_pie,Cards,False,cs_pie — Cross-Sectional Pie Chart - ONE FOR ALL ASSETS,
gauge,Cards,False,gauge — Gauge Chart - ONE PER ASSET,
pie,Cards,False,pie — Pie Chart - ONE PER ASSET,
ipos,CorporateEvents,True,ipo = ipos(),in_ebnf:ipo = ipos()
short_interest,CorporateEvents,True,si = short_interest(),in_ebnf:si = short_interest()
short_volume,CorporateEvents,True,sv = short_volume(),in_ebnf:sv = short_volume()
splits,CorporateEvents,True,sp = splits(),in_ebnf:sp = splits()
ticker_events,CorporateEvents,True,te = ticker_events()       # String: .event_type .ticker,in_ebnf:te = ticker_events()
boxplot,Distributions,False,boxplot — Boxplot - ONE PER ASSET,
cs_boxplot,Distributions,False,cs_boxplot — Cross-Sectional Boxplot - ONE FOR ALL ASSETS,
cs_histogram,Distributions,False,cs_histogram — Cross-Sectional Histogram - ONE FOR ALL ASSETS,
histogram,Distributions,False,histogram — Histogram - ONE PER ASSET,
cppi,Execution,False,cppi — CPPI,
kelly,Execution,False,kelly — Kelly,
long_and_short_zone,Execution,False,long_and_short_zone — Long & Short Zone,
optimal_f,Execution,False,optimal_f — Optimal f,
position_size,Execution,False,position_size — Position Size,
risk_unit,Execution,False,risk_unit — Risk Unit,
rollover_policy,Execution,False,rollover_policy — Rollover Policy,
stop_loss,Execution,False,stop_loss — Stop Loss,
take_profit,Execution,False,take_profit — Take Profit,
tipp,Execution,False,tipp — TIPP,
trailing_stop,Execution,False,trailing_stop — Trailing Stop,
analyst_ratings,Fundamental,True,rat = analyst_ratings(),in_ebnf:rat = analyst_ratings()
balance_sheet,Fundamental,True,bs = balance_sheet(period=BalanceSheetTimeframe.quarterly),in_ebnf:bs = balance_sheet(period=...)
cash_flow,Fundamental,True,cf = cash_flow(period=BalanceSheetTimeframe.quarterly),in_ebnf:cf = cash_flow(period=...)
dividends,Fundamental,True,div = dividends(dividend_type=DividendType.CD),in_ebnf:div = dividends()
earnings,Fundamental,True,earn = earnings(),in_ebnf:earn = earnings()
income_statement,Fundamental,True,inc = income_statement(period=BalanceSheetTimeframe.quarterly),in_ebnf:inc = income_statement(period=...)
cs_heatmap,Heatmaps,False,cs_heatmap — Cross-Sectional Heatmap - ONE FOR ALL ASSETS,
heatmap,Heatmaps,False,heatmap — Heatmap - ONE PER ASSET,
cs_labeled_lines,Lines,False,cs_labeled_lines — Cross-Sectional Labeled Lines - ONE FOR ALL ASSETS,
cs_lines,Lines,False,cs_lines — Cross-Sectional Lines - ONE FOR ALL ASSETS,
labeled_lines,Lines,False,labeled_lines — Labeled Lines - ONE PER ASSET,
timeseries_lines,Lines,True,,deprecated:use xy_lines
xy_lines,Lines,False,xy_lines — XY Lines - ONE PER ASSET,
dbscan,MachineLearning,False,dbscan — DBSCAN,
hmm,MachineLearning,False,hmm — Hidden Markov Model,
kmeans,MachineLearning,False,kmeans — K-Means Clustering,
lightgbm_classifier,MachineLearning,False,lightgbm_classifier — LightGBM Classifier,
lightgbm_regressor,MachineLearning,False,lightgbm_regressor — LightGBM Regressor,
logistic_l1,MachineLearning,False,logistic_l1 — Logistic L1,
logistic_l2,MachineLearning,False,logistic_l2 — Logistic L2,
ml_minmax,MachineLearning,False,ml_minmax — ML Min-Max,
ml_robust,MachineLearning,False,ml_robust — ML Robust,
ml_zscore,MachineLearning,False,ml_zscore — ML Z-Score,
pca,MachineLearning,False,pca — PCA,
svr_l1,MachineLearning,False,svr_l1 — SVR L1,
svr_l2,MachineLearning,False,svr_l2 — SVR L2,
common_indicators,Macroeconomics,True,,macro:macro_data(MacroEconomicsIndicator.X)
common_treasury_auctions,Macroeconomics,True,,separate_transform:NOT_macro_of_economic_calendar
economic_calendar,Macroeconomics,True,"tsy = economic_calendar(source=CalendarSource.Treasury,",in_ebnf:cal = economic_calendar(source=...)
economic_indicators,Macroeconomics,True,"econ = economic_indicators(series_id=""CPIAUCSL"")",in_ebnf:econ = economic_indicators(series_id=...)
economic_revisions,Macroeconomics,True,"rev = economic_revisions(series_id=""PAYEMS"")",in_ebnf:rev = economic_revisions(series_id=...)
common_crypto_pairs,MarketData,True,,macro:reference_assets(crypto(...)) select-dropdown variant
common_fx_pairs,MarketData,True,,macro:reference_assets(fx(...)) select-dropdown variant
common_indices,MarketData,True,,macro:reference_assets(stock(...)) select-dropdown variant
common_reference_futures,MarketData,True,,macro:reference_assets(futures(...)) select-dropdown variant
common_reference_stocks,MarketData,True,,macro:reference_assets(stock(...)) select-dropdown variant
crypto_pairs,MarketData,True,,macro:reference_assets(crypto(...))
extended_market_data_source,MarketData,True,,macro:study_assets(trading_hours=Extended)
futures_continuation,MarketData,False,futures_continuation — Futures Continuation,
fx_pairs,MarketData,True,,macro:reference_assets(fx(...))
indices,MarketData,True,,macro:reference_assets(stock('^...'))
market_data_source,MarketData,True,,macro:study_assets()
reference_futures,MarketData,True,,macro:reference_assets(futures(...))
reference_stocks,MarketData,True,,macro:reference_assets(stock(...))
keyword_count,NLP,False,keyword_count — Keyword Count,
keyword_match,NLP,False,keyword_match — Keyword Match,
keyword_score,NLP,False,keyword_score — Keyword Score,
string_case,NLP,False,string_case — String Case,
string_check,NLP,False,string_check — String Check,
string_contains,NLP,False,string_contains — String Contains,
string_trim,NLP,False,string_trim — String Trim,
topic_classify,NLP,False,topic_classify — Topic Classify,
cs_news,News,False,cs_news — Cross-Sectional News,
news,News,False,news — News,
black_litterman,PortfolioAllocation,False,black_litterman — Black-Litterman,
equal_weight,PortfolioAllocation,False,equal_weight — Equal Weight,
herc,PortfolioAllocation,False,herc — Hierarchical Equal Risk Contribution,
hrp,PortfolioAllocation,False,hrp — Hierarchical Risk Parity,
inv_vol_weight,PortfolioAllocation,False,inv_vol_weight — Inverse Volatility Weight,
max_diversification,PortfolioAllocation,False,max_diversification — Maximum Diversification,
max_sharpe,PortfolioAllocation,False,max_sharpe — Maximum Sharpe Ratio,
min_cvar,PortfolioAllocation,False,min_cvar — Minimum CVaR,
min_semivariance,PortfolioAllocation,False,min_semivariance — Minimum Semivariance,
min_variance,PortfolioAllocation,False,min_variance — Minimum Variance,
risk_budgeting,PortfolioAllocation,False,risk_budgeting — Risk Budgeting,
risk_parity,PortfolioAllocation,False,risk_parity — Risk Parity,
bos_choch,SMC,False,bos_choch — Break of Structure & Change of Character,
fair_value_gap,SMC,False,fair_value_gap — Fair Value Gap,
liquidity,SMC,False,liquidity — Liquidity,
order_blocks,SMC,False,order_blocks — Order Blocks,
previous_high_low,SMC,False,previous_high_low — Previous High Low,
retracements,SMC,False,retracements — Retracements,
swing_highs_lows,SMC,False,swing_highs_lows — Swing Highs and Lows,
bubble,Scatter,False,bubble — Bubble Chart - ONE PER ASSET,
cs_bubble,Scatter,False,cs_bubble — Cross-Sectional Bubble Chart - ONE FOR ALL ASSETS,
